schema,object,kind,domain,classification,operations,runtime_files,support_files,estimated_rows,seq_scans,index_scans
auth,refresh_tokens_id_seq,sequence,transverse/infrastructure,infrastructure/auth,,,,1,,
auth,audit_log_entries,table,transverse/infrastructure,infrastructure/auth,,,,1147,4,0
auth,custom_oauth_providers,table,auth,infrastructure/auth,,,,-1,4,0
auth,flow_state,table,statistiques,infrastructure/auth,,,,2,4,0
auth,identities,table,auth,infrastructure/auth,INSERT | SELECT | UPDATE,app/api/auth/mobile/contact/email/verify/route.ts | app/api/auth/mobile/contact/route.ts | lib/localAuth.ts | lib/mobileAuthSecurity.ts,,40,5,0
auth,instances,table,transverse/infrastructure,infrastructure/auth,,,,-1,4,0
auth,mfa_amr_claims,table,auth,infrastructure/auth,INSERT | SELECT,lib/mobileAuthSecurity.ts,,142,5,0
auth,mfa_challenges,table,auth,infrastructure/auth,,,,2,4,0
auth,mfa_factors,table,auth,infrastructure/auth,DELETE | INSERT | UPDATE,lib/mobileAuthSecurity.ts,,1,138,0
auth,oauth_authorizations,table,auth,infrastructure/auth,,,,-1,4,0
auth,oauth_client_states,table,auth,infrastructure/auth,,,,-1,4,0
auth,oauth_clients,table,auth,infrastructure/auth,,,,-1,4,0
auth,oauth_consents,table,auth,infrastructure/auth,,,,-1,4,0
auth,one_time_tokens,table,transverse/infrastructure,infrastructure/auth,,,,-1,4,0
auth,refresh_tokens,table,auth,infrastructure/auth,INSERT | SELECT | UPDATE,lib/mobileAuth.ts,,280,4,4
auth,saml_providers,table,transverse/infrastructure,infrastructure/auth,,,,-1,4,0
auth,saml_relay_states,table,statistiques,infrastructure/auth,,,,-1,4,0
auth,schema_migrations,table,transverse/infrastructure,infrastructure/auth,,,,77,4,0
auth,sessions,table,auth,infrastructure/auth,INSERT | REFERENCE | SELECT | UPDATE,lib/mobileAuth.ts,scripts/delete_test_user.js,140,140,2
auth,sso_domains,table,transverse/infrastructure,infrastructure/auth,,,,-1,4,0
auth,sso_providers,table,transverse/infrastructure,infrastructure/auth,,,,-1,4,0
auth,users,table,profils,infrastructure/auth,DELETE | INSERT | REFERENCE | SELECT | UPDATE,app/api/admin/emails/route.ts | app/api/auth/mobile/contact/email/verify/route.ts | app/api/auth/mobile/contact/route.ts | app/api/auth/reset-password/route.ts | lib/adminEmailRecipients.ts | lib/authOptions.ts | lib/localAuth.ts | lib/mobileAuth.ts | lib/mobileAuthSecurity.ts,scripts/check-supabase-users.js | scripts/check-user-sync.js | scripts/check_profiles_table.js | scripts/check_remaining_data.js | scripts/check_user_structure.js | scripts/compare-migration-status.js | scripts/create-ai-generations-simple.js | scripts/create-meteo-tables.js | scripts/create-test-users.js | scripts/create-users-simple.js | scripts/create_community_tables.js | scripts/debug-mapping.js | scripts/delete_test_user.js | scripts/fix-auth-migration.js | scripts/fix-migration-final.js | scripts/fix-track-creator-ids-final.js | scripts/fix-track-creator-ids-v2.js | scripts/fix-track-creator-ids-v3.js | scripts/fix-track-creator-ids-with-mapping.js | scripts/fix-users-profiles.js | scripts/migrate-all-data-fixed.js | scripts/migrate-all-data.js | scripts/migrate-complete-100.js | scripts/migrate-complete-final.js | scripts/migrate-final-users.js | scripts/migrate-to-supabase.js | scripts/repair-admin-migration-gaps.js | scripts/run-ai-complete-migration.js | scripts/run-ai-migration.js | scripts/run-users-migration.js | scripts/test-ai-system.js | scripts/test-follow-system.js | scripts/test-messages-api.js | scripts/test-profiles.js,38,143,0
auth,webauthn_challenges,table,auth,infrastructure/auth,,,,-1,4,0
auth,webauthn_credentials,table,auth,infrastructure/auth,,,,-1,4,0
extensions,pg_stat_statements,view,statistiques,infrastructure/auth,,,,-1,,
extensions,pg_stat_statements_info,view,statistiques,infrastructure/auth,,,,-1,,
public,comment_reactions_id_seq,sequence,commentaires/reactions,inconnu,,,,1,,
public,conversation_participants_id_seq,sequence,messaging,inconnu,,,,1,,
public,creator_comment_filters_id_seq,sequence,commentaires/reactions,inconnu,,,,1,,
public,follow_requests_id_seq,sequence,follows,inconnu,,,,1,,
public,notifications_id_seq,sequence,notifications,inconnu,,,,1,,
public,play_stats_id_seq,sequence,statistiques,inconnu,,,,1,,
public,playlist_tracks_id_seq,sequence,playlists,inconnu,,,,1,,
public,track_likes_id_seq,sequence,tracks,inconnu,,,,1,,
public,user_follows_id_seq,sequence,follows,inconnu,,,,1,,
public,account_private,table,auth,utilise par le runtime,INSERT,lib/mobileAuthSecurity.ts,,32,5,0
public,active_artist_boosts,table,Boosters,utilise par le runtime,INSERT | SELECT | UPDATE,app/api/boosters/my-active/route.ts | app/api/boosters/use/route.ts | app/api/notifications/boost/route.ts | app/api/users/popular/route.ts | app/api/users/route.ts,,8,133,0
