schema_name,table_name,trigger_name,enabled_mode,function_schema,function_name,definition
public,account_private,touch_account_private_updated_at,O,public,touch_account_private_updated_at,CREATE TRIGGER touch_account_private_updated_at BEFORE UPDATE ON account_private FOR EACH ROW EXECUTE FUNCTION touch_account_private_updated_at()
public,account_private,validate_account_private_birth_date,O,public,validate_account_private_birth_date,CREATE TRIGGER validate_account_private_birth_date BEFORE INSERT OR UPDATE OF birth_date ON account_private FOR EACH ROW EXECUTE FUNCTION validate_account_private_birth_date()
public,ai_generations,trigger_update_ai_usage_stats,O,public,update_ai_usage_stats,CREATE TRIGGER trigger_update_ai_usage_stats AFTER INSERT ON ai_generations FOR EACH ROW EXECUTE FUNCTION update_ai_usage_stats()
public,ai_generations,update_ai_generations_updated_at,O,public,update_updated_at_column,CREATE TRIGGER update_ai_generations_updated_at BEFORE UPDATE ON ai_generations FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
public,city_event_participations,trg_city_event_participations_updated_at,O,public,set_city_updated_at,CREATE TRIGGER trg_city_event_participations_updated_at BEFORE UPDATE ON city_event_participations FOR EACH ROW EXECUTE FUNCTION set_city_updated_at()
public,city_event_votes,trg_city_event_votes_updated_at,O,public,set_city_updated_at,CREATE TRIGGER trg_city_event_votes_updated_at BEFORE UPDATE ON city_event_votes FOR EACH ROW EXECUTE FUNCTION set_city_updated_at()
public,city_event_winners,city_battle_winner_requires_vote,O,public,require_city_battle_winner_vote,"CREATE TRIGGER city_battle_winner_requires_vote BEFORE INSERT OR UPDATE OF event_id, track_id ON city_event_winners FOR EACH ROW EXECUTE FUNCTION require_city_battle_winner_vote()"
public,city_events,trg_city_events_updated_at,O,public,set_city_updated_at,CREATE TRIGGER trg_city_events_updated_at BEFORE UPDATE ON city_events FOR EACH ROW EXECUTE FUNCTION set_city_updated_at()
public,comment_likes,trigger_update_comment_likes_count,O,public,update_comment_likes_count,CREATE TRIGGER trigger_update_comment_likes_count AFTER INSERT OR DELETE ON comment_likes FOR EACH ROW EXECUTE FUNCTION update_comment_likes_count()
public,conversation_realtime_events,synaura_cleanup_realtime_events_on_insert,O,public,synaura_cleanup_realtime_events,CREATE TRIGGER synaura_cleanup_realtime_events_on_insert BEFORE INSERT ON conversation_realtime_events FOR EACH STATEMENT EXECUTE FUNCTION synaura_cleanup_realtime_events()
public,conversations,update_conversations_updated_at,O,public,update_updated_at_column,CREATE TRIGGER update_conversations_updated_at BEFORE UPDATE ON conversations FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
public,editorial_collections,touch_editorial_collections_updated_at,O,public,touch_editorial_collections_updated_at,CREATE TRIGGER touch_editorial_collections_updated_at BEFORE UPDATE ON editorial_collections FOR EACH ROW EXECUTE FUNCTION touch_editorial_collections_updated_at()
