function,arguments,owner,runtime_callers,tables_or_functions_touched,execute_before,security_definer_need,correction
public.ai_add_credits,"uuid, integer",postgres,"none; support scripts only",public.ai_credit_balances,"PUBLIC anon authenticated service_role synaura_app","kept for trigger/support compatibility; privilege elevation not required by current server role",fixed search_path; execute only synaura_app/service_role
public.ai_add_credits,"uuid, integer, text, text",postgres,"billing credits verify/webhook; daily spin; referral; Suno generation/video/cover",public.ai_credit_balances and public.credit_ledger,"PUBLIC anon authenticated service_role synaura_app","kept for atomic balance+ledger and ai_grant_welcome_credits trigger compatibility",fixed search_path; execute only synaura_app/service_role
public.ai_debit_credits,"uuid, integer",postgres,none,public.ai_credit_balances,"PUBLIC anon authenticated service_role synaura_app","kept for compatibility; no active runtime caller",fixed search_path; execute only synaura_app/service_role
public.ai_debit_credits,"uuid, integer, text, text",postgres,"Suno generation/video/cover",public.ai_credit_balances and public.credit_ledger,"PUBLIC anon authenticated service_role synaura_app",kept for atomic conditional debit+ledger,fixed search_path; execute only synaura_app/service_role
public.check_user_quota,uuid,postgres,none,"public.users and public.get_monthly_generations_count",PUBLIC anon authenticated service_role synaura_app,"not needed by active runtime; retained to avoid destructive legacy cleanup",fixed search_path; execute only synaura_app/service_role
public.get_monthly_generations_count,uuid,postgres,"internal from check_user_quota only",public.ai_generations,PUBLIC anon authenticated service_role synaura_app,"not needed by active runtime; retained for internal legacy caller",fixed search_path; execute only synaura_app/service_role
public.get_user_ai_stats,uuid,postgres,"dormant method in lib/aiGenerationService.ts",public.ai_generations and public.ai_tracks,PUBLIC anon authenticated service_role synaura_app,"not inherently needed; retained for compatible RPC surface",fixed search_path; execute only synaura_app/service_role
public.get_user_quota_remaining,uuid,postgres,"lib/aiGenerationService.ts via active AI generate route",public.user_quotas,PUBLIC anon authenticated service_role synaura_app,"kept because it atomically creates/resets quota state",fixed search_path; execute only synaura_app/service_role
public.increment_ai_usage,uuid,postgres,"lib/aiGenerationService.ts via quota increment route",public.get_user_quota_remaining and public.user_quotas,PUBLIC anon authenticated service_role synaura_app,"kept for compatible quota check+increment; race remains documented",fixed search_path; execute only synaura_app/service_role
public.record_track_view,"text, uuid, inet, text",postgres,none,"public.track_views and public.tracks",PUBLIC anon authenticated service_role synaura_app,"not needed by active runtime; retained to avoid destructive legacy cleanup",fixed search_path; execute only synaura_app/service_role
public.toggle_track_like,"text, uuid",postgres,none,"public.track_likes and public.tracks",PUBLIC anon authenticated service_role synaura_app,"not needed by active runtime; retained to avoid destructive legacy cleanup",fixed search_path; execute only synaura_app/service_role
